Fátima Lara Mirella Barros, 41,  651.303.991-61,  34.853.872-8,  17/04/1981,  Rua Darcy Pio, Três Lagoas
Marcos Vinicius Bryan Lucas Oliveir, 22, 567.026.881-48, 39.673.954-4, 20/03/2000, Rua Eduardo Santos Pereira, Campo Grande
Carolina Catarina Lavínia Carvalh, 53, 740.375.051-93, 49.917.496-3, 09/04/1969, Rua Cláudio Abramo,bairro, Campo Grande
Joana Caroline Jennifer Brit, 50, 269.115.991-48, 45.021.750-4, 24/05/1972, Rua São Gonçalo,Campo Grande
Sandra Ayla Aparíci, 25, 070.557.051-77, 18.178.074-4, 02/04/1997, Avenida Presidente Ernesto Geisel, Campo Grande
Isadora Isabel Josefa da Cru, 69, 429.671.381-77, 24.575.859-8, 15/01/1953, Rua Betim, Campo Grande
Isabella Rosângela Jennifer Teixeir, 35, 399.972.021-20, 24.503.701-9, 19/01/1987, Rua Nazaré,Ponta Porã
Carolina Pietra Beatriz da Silv, 73, 288.486.541-18, 29.935.022-8, 14/04/1949, Rua Anúncia Salvadora Colman,Dourados
Maya Yasmin Nune, 42, 910.993.261-50, 27.306.802-7, 16/02/1980,endereeco, Rua Perciliana Barbosa Ferreira,Campo Grande
Luana Marina Alícia Ferreir, 31, 444.877.411-22,     19.931.115-8,     12/03/1991, Rua Doutor Paulo Galhardi, Campo Grande
Roberto Rodrigo Kevin Assunçã, 79, 645.418.051-46, 24.234.700-9,     06/03/1943, Avenida Gury Marques 5464, Campo Grande
Sandra Jennifer Alve, 61, 644.600.851-19, 50.285.300-1, 07/02/1961, Rua João Pedro de Souza 1025, Campo Grande
Juan Matheus Campo, 75, 240.027.141-01, 43.975.005-2,     26/02/1947,     Avenida Aeroclube, Campo Grande
Manuel Caio Ramo, 20, 622.782.171-35,     16.371.188-4,     14/01/2002,     Rua Iturama,Ponta Porã
Débora Teresinha Vitória Corte Rea, 42, 507.223.031-73, 15.433.377-3,     05/01/1980,     Avenida Jose Villela de Andrade Junior, Campo Grande
Alexandre Felipe Cauã Ribeir, 26, 372.083.101-90, 27.873.368-2, 02/01/1996, Rua Liberato Leite de Faria Laguecho, Dourados
Samuel Fernando Kevin Nasciment, 30, 870.482.201-39, 35.097.708-2, 15/05/1992, Rua Carmem Bazzano Pedra, Campo Grande
Raimunda Stella da Conceiçã, 47,     326.881.731-97,     39.400.183-7,     10/03/1975,     Avenida Ricardo Brandão,Campo Grande
Esther Isabelle Monteir, 24, 432.896.731-20, 23.110.956-8, 24/02/1998, Rua Casa Branca,Campo Grande
Benjamin Anthony Alexandre Pereir, 78, 379.928.751-50, 39.685.376-6, 04/02/1944, Rua Álvaro Lins,Campo Grande
Arthur Guilherme Mour, 70, 582.786.671-79, 11.153.194-9, 07/05/1952, Rua José da Silva,Campo Grande
Leandro Carlos Eduardo Kaique Rodrigue, 79, 719.923.411-25, 38.531.387-1, 05/04/1943, Rua Luiz Hilário Campo Leite, Campo Grande
Diego César Morae, 25, 655.423.391-15, 27.264.492-4, 26/02/1997, Rua Guilherme Rocha,Campo Grande
